,dist_mile,model_i,model_j,model_lat,model_lon
0,-6.864468077786821,69,1,38.709598541117266,-74.89854692992532
1,-6.73695053186866,69,2,38.71190500922644,-74.90100044817035
2,-6.609442517401746,69,3,38.7142114242525,-74.9034541123693
3,-6.212643840710634,70,4,38.7184376960278,-74.90294376870048
4,-6.085149298388187,70,5,38.72074405712185,-74.9053976974323
5,-5.957664290884426,70,6,38.723050365108286,-74.90785177215378
6,-5.830188819218872,70,7,38.7253566199794,-74.9103059928749
7,-5.433402100328129,71,8,38.729582867561504,-74.90979594935746
8,-5.305940110603382,71,9,38.73188906842932,-74.91225043471526
9,-5.1784876600868355,71,10,38.73419521615729,-74.91470506610844
10,-5.0510447497970175,71,11,38.73650131073773,-74.91715984354703
11,-4.923611380765698,71,12,38.73880735216281,-74.91961476704107
12,-4.796187554012043,71,13,38.74111334042483,-74.9220698366006
13,-4.399420717669347,72,14,38.74533956178843,-74.92156033081892
14,-4.272010387334979,72,15,38.74764549594243,-74.92401566517036
15,-4.144609602649375,72,16,38.74995137690885,-74.92647114562303
16,-4.017218364631059,72,17,38.75225720467999,-74.92892677218695
17,-3.8898366743118045,72,18,38.754562979248036,-74.93138254487219
18,-3.762464532713972,72,19,38.756868700605246,-74.93383846368877
19,-3.6351019408616625,72,20,38.75917436874388,-74.93629452864674
20,-3.507748899782174,72,21,38.76147998365615,-74.93875073975614
21,-3.3804054104954875,72,22,38.76378554533436,-74.941207097027
22,-3.253071474030003,72,23,38.76609105377071,-74.94366360046938
23,-3.1257470914136567,72,24,38.768396508957416,-74.94612025009332
24,-2.9984322636656136,72,25,38.770701910886785,-74.94857704590885
25,-2.871126991815552,72,26,38.773007259551015,-74.95103398792604
26,-2.743831276886759,72,27,38.775312554942374,-74.95349107615495
27,-2.6165451199035132,72,28,38.77761779705311,-74.9559483106056
28,-2.7587049124369973,71,29,38.77800191610826,-74.96137082265317
29,-2.631443461263448,71,30,38.78030699941115,-74.96382837686241
30,-2.5041915708212787,71,31,38.78261202941134,-74.96628607731793
31,-2.376949242134127,71,32,38.784917006101075,-74.96874392402977
32,-2.249716476227663,71,33,38.78722192947261,-74.97120191700799
33,-2.122493274125347,71,34,38.7895267995182,-74.97366005626264
34,-1.9952796368544767,71,35,38.79183161623007,-74.97611834180378
35,-2.1375528381411804,70,36,38.79221487120421,-74.98154194876435
36,-2.010363918251817,70,37,38.79451952900853,-74.98400055414395
37,-1.8831845659724147,70,38,38.79682413345712,-74.98645930583453
38,-1.7560147823343946,70,39,38.79912868454216,-74.98891820384617
39,-1.628854568357736,70,40,38.80143318225594,-74.99137724818888
40,-1.7712108972810687,69,41,38.801815784028086,-74.99680160295293
41,-1.644075408735893,69,42,38.804120122763265,-74.999260967185
42,-1.7864694090928415,68,43,38.804502388026876,-75.00468554906365
43,-1.6593586487564749,68,44,38.8068065677553,-75.00714523319259
44,-1.5322574626231704,68,45,38.8091106940761,-75.00960506369157
45,-1.4051658517178454,68,46,38.8114147669815,-75.01206504057062
46,-1.54762783836735,67,47,38.81179648445118,-75.01749019658709
47,-1.4205609619614614,67,48,38.81410039829309,-75.01995049339943
48,-1.5630606232087405,66,49,38.81448177917791,-75.02537587641693
49,-1.436018484081245,66,50,38.816785533928154,-75.02783649317006
50,-1.5785558204877908,65,51,38.8171665782038,-75.03326210313871
51,-1.4515384214146252,65,52,38.819470173834226,-75.0357230398401
52,-1.3245306038623568,65,53,38.82177371599865,-75.03818412297497
53,-1.1975323688624058,65,54,38.82407720468927,-75.04064535255341
54,-1.070543717435391,65,55,38.82638063989835,-75.04310672858544
55,-0.9435646506057015,65,56,38.82868402161817,-75.04556825108114
56,-0.8165951694012745,65,57,38.83098734984094,-75.04802992005054
57,-0.6896352748494079,65,58,38.83329062455887,-75.0504917355037
58,-0.5626849679665337,65,59,38.83559384576431,-75.05295369745066
59,-0.43574424978488663,65,60,38.83789701344942,-75.05541580590149
60,-0.039187443844229,66,61,38.842123306660625,-75.05491294332367
61,0.13734282180714727,66,62,38.84442641947831,-75.05737531776896
62,0.48429148215848844,67,63,38.84865268908687,-75.0568725197674
63,0.6143133119775606,67,64,38.850955746999254,-75.05933516025992
64,1.008171807287521,68,65,38.85518199294756,-75.0588324268639
65,1.134910766250547,68,66,38.85748499591681,-75.06129533345647
66,1.261702367970405,68,67,38.85978794530785,-75.0637583866403
67,1.453421052170242,68,68,38.86209084111291,-75.06622158642548
68,1.6671048742661525,68,69,38.864393683324224,-75.06868493282208
69,1.9121995571725816,69,70,38.8686199013194,-75.06818262279305
70,2.0788101079334544,69,71,38.870922688499554,-75.07064623541996
71,2.436135352878711,70,72,38.875148882655814,-75.07014399013639
72,2.562692383759237,70,73,38.877451614766905,-75.0726078690465
73,2.704136112836512,70,74,38.879754293243074,-75.07507189462973
74,2.918174962588689,70,75,38.88205691807656,-75.07753606689612
75,3.213184091214683,71,76,38.88628308538338,-75.07703412572911
76,3.3397471414463737,71,77,38.88858565507648,-75.07949856438324
77,3.543719127941622,71,78,38.890888171102446,-75.08196314975645
78,3.74977304740513,71,79,38.89313478952901,-75.08428827198415
79,3.986833327675749,72,80,38.89727661535447,-75.08364521130451
80,4.138035246162326,72,81,38.899468281285365,-75.08592648465881
81,4.336986236732851,72,82,38.9016300802365,-75.0881761587822
82,4.5334668112739305,72,83,38.90376404367773,-75.0903962912138
83,4.735255759682768,73,84,38.907784241401636,-75.0896938915082
84,4.903819362395583,73,85,38.90987307352029,-75.09187963371814
85,5.095973319337851,73,86,38.91194785962299,-75.09405019951535
86,5.348297011246422,74,87,38.915917012176465,-75.09334847529101
87,5.46266140998304,74,88,38.9179745738503,-75.09551415282455
88,5.650955996174496,74,89,38.92002964286402,-75.09767692577816
89,5.954947415414173,75,90,38.92398224397777,-75.09701348106145
90,6.068688067966716,75,91,38.926036297193,-75.09918904523249
91,6.207164156651531,75,92,38.92809270125866,-75.1013669804224
92,6.399565836162101,75,93,38.9301519842397,-75.1035478624354
93,6.672277395072491,76,94,38.93410399376943,-75.10295584668816
94,6.78608867284596,76,95,38.93616718163422,-75.10515539824829
95,6.973325653738462,76,96,38.93823318800502,-75.10735793205218
96,7.159223076141244,76,97,38.94030173452557,-75.10956315524726
97,7.388616168481213,77,98,38.94425436214749,-75.10904593137806
98,7.534323093897279,77,99,38.94632487798929,-75.11126814650231
99,7.746393834116635,77,100,38.948396986816896,-75.11349207839477
100,7.992479393161542,78,101,38.95234694347848,-75.11303226932807
101,8.108869459451412,78,102,38.95441932639701,-75.11527153585939
102,8.315190175941257,78,103,38.95649256826968,-75.11751174257569
103,8.52627620308509,78,104,38.95856649309437,-75.11975269667492
104,8.711006751376878,79,105,38.96251041536017,-75.11936224781375
105,8.893447807940792,79,106,38.9645832347077,-75.12161713236624
106,9.103267277547758,79,107,38.96665637741725,-75.1238723760872
107,9.31308711023281,79,108,38.968729768169396,-75.12612789527766
108,9.47554241482295,80,109,38.972666178105726,-75.12580557436169
109,9.686029934785505,80,110,38.9747378927319,-75.12807444267618
110,9.905453071648147,81,111,38.978670273015375,-75.1277938845269
111,10.061385687611802,81,112,38.9807402231046,-75.13007603091519
112,10.272513922835222,81,113,38.98281023231909,-75.13235824491858
113,10.497630741804631,82,114,38.98673690802883,-75.132132962226
114,10.650087229565628,82,115,38.98880509805925,-75.13442841617898
115,10.97269590885522,83,116,38.99272819577017,-75.13424560795926
116,11.086434557950131,83,117,38.994794588548686,-75.13655434635433
117,11.24221399678116,83,118,38.99686099352148,-75.13886309910197
118,11.558704427564383,84,119,39.00077901255653,-75.13873648300535
119,11.671884878887457,84,120,39.00284365271607,-75.14105857523387
120,11.835768688263581,84,121,39.004908297337025,-75.1433806727886
